No,CPM,logFC,signif,CPM1
103,99.52374173,-3.13305234,FALSE,6.636968821
104,99.52374173,-3.13305234,FALSE,6.636968821
105,184.3856528,1.634947584,FALSE,7.526582593
106,234.9612436,-1.369759824,FALSE,7.876278997
107,16837.11119,0.653952526,FALSE,14.03935701
108,133.4722293,2.409948706,FALSE,7.060395791
109,464.262518,-1.180352954,FALSE,8.858797
110,305.2850575,-1.431495449,FALSE,8.254013167
111,96.9942943,3.105715545,FALSE,6.599827978
112,121.0457139,2.32496438,FALSE,6.919408185
113,106.7046343,3.004944444,FALSE,6.737479026
114,206.0150958,2.423749918,FALSE,7.686606245
115,145.8272937,-2.186811275,FALSE,7.188116956
116,535.0467661,1.16177175,FALSE,9.063521187
117,190.2491254,1.68370543,FALSE,7.571746011
118,149.3790977,-1.80471383,FALSE,7.222834479
119,106.0955318,2.975190432,FALSE,6.729220088
120,96.70867153,3.051945136,FALSE,6.595573352
121,931.7763088,-0.9742874,FALSE,9.863839839
122,153.7792367,3.036814971,FALSE,7.264716914
123,124.27333,2.335588903,FALSE,6.957372906
124,1739.012216,0.594977734,FALSE,10.76405235
125,232.3147184,-1.246779562,FALSE,7.859936749
126,96.27893267,3.052262084,FALSE,6.589148243
127,96.68020641,3.011410798,FALSE,6.595148648
128,96.6802064,3.011410765,FALSE,6.595148648
129,96.68020639,3.011410726,FALSE,6.595148648
130,96.68020638,3.011410682,FALSE,6.595148648
131,96.68020637,3.011410665,FALSE,6.595148648
132,96.68020636,3.011410621,FALSE,6.595148647
133,96.68020636,3.011410616,FALSE,6.595148647
134,96.68020634,3.011410551,FALSE,6.595148647
135,378.9180472,-1.386286387,FALSE,8.565742044
136,96.44194208,3.03357368,FALSE,6.591588798
137,96.42298858,3.032230897,FALSE,6.591305241
138,158.9835685,-1.657362891,FALSE,7.312733855
139,275.5731904,-1.52872496,FALSE,8.106291729
140,96.57242909,3.005399514,FALSE,6.593539461
141,258.833075,-1.49526644,FALSE,8.015878174
142,170.7395375,-1.739896869,FALSE,7.415653367
143,632.3572128,-0.816892066,FALSE,9.304595944
144,104.4611824,2.915935477,FALSE,6.706823128
145,386.4395269,1.052747187,FALSE,8.594098857
146,132.1258317,-2.280016764,FALSE,7.045768742
147,247.1454281,1.368769599,FALSE,7.949216408
148,185.7746582,-1.624855359,FALSE,7.537409905
149,368.0009807,0.979837122,FALSE,8.523565801
150,127.3708592,2.461304645,FALSE,6.992891435
151,97.16692683,-3.070207694,FALSE,6.602393435
152,339.2734593,-1.263404705,FALSE,8.406304765
153,465.3714425,1.157429984,FALSE,8.862238872
154,104.5292492,2.89502019,FALSE,6.707762881
155,104.5376781,2.892511785,FALSE,6.70787921
156,154.784628,-1.914092759,FALSE,7.274118391
157,806.7331057,-0.806514514,FALSE,9.65594765
158,142.7203804,-2.045075276,FALSE,7.157047556
159,398.9496961,1.204355926,FALSE,8.640063037
160,424.9328688,-0.985710313,FALSE,8.731091131
